,id,rank,name,position_id,position_name,level
0,101,1,Legend,11,st,60.0
1,65,2,Agal,13,wf,58.0
2,23,3,Heathcliff,23,cm,52.0
3,91,4,SHARMAN.,11,st,51.0
4,526,5,J.1,33,sw,50.0
5,68,6,Arkano,12,cf,49.0
6,455,7,Tiss,23,cm,49.0
7,73,8,bebz,11,st,48.0
8,95,9,EvilCM,23,cm,48.0
9,865,10,EterogeN,31,sb,48.0
10,67,11,Borsalino,31,sb,47.0
11,143,12,RandomHero,13,wf,47.0
12,86,13,Upamecano,32,cb,46.0
13,696,14,Levski1914,21,am,46.0
14,642,15,cliclic,33,sw,45.0
15,115,16,ikionyedi,23,cm,44.0
16,534,17,Abiego,23,cm,42.0
17,57,18,GoTackle,33,sw,42.0
18,320,19,UniQ,11,st,42.0
19,457,20,Wladi_Kai,13,wf,42.0
20,33,21,TrombRaider,23,cm,41.0
21,129,22,EzotericK,32,cb,41.0
22,151,23,RedCF,12,cf,41.0
23,999,24,She,11,st,41.0
24,54,25,holly,32,cb,40.0
25,60,26,JIeks,32,cb,40.0
26,69,27,Gnabry,13,wf,40.0
27,83,28,RedAM,21,am,40.0
28,25,29,KILLER_10,11,st,38.0
29,296,30,anox,24,dm,38.0
30,580,31,Smart,23,cm,38.0
31,77,32,BoReX,13,wf,38.0
32,488,33,Eagle,32,cb,38.0
33,255,34,Intrinsec,21,am,38.0
34,123,35,Sugar.,24,dm,37.0
35,379,36,Porn,24,dm,37.0
36,928,37,1312LeVsk1,32,cb,37.0
37,426,38,Cacadu_,23,cm,37.0
38,17,39,Reka,11,st,36.0
39,795,40,Suri,32,cb,36.0
40,32,41,Dopa,23,cm,36.0
41,36,42,Uga_Buga,13,wf,36.0
42,848,43,Charles_A,22,sm,36.0
43,81,44,MrJ,21,am,36.0
44,348,45,Toretto,13,wf,36.0
45,125,46,OceanEyes,22,sm,36.0
46,135,47,Worst_CB_Ever,32,cb,36.0
47,1431,48,Skywalker,33,sw,36.0
48,1205,49,Foxy,24,dm,36.0
49,244,50,voteFORME,33,sw,36.0
50,52,51,Lewandowski,13,wf,35.0
51,572,52,jamal,12,cf,35.0
52,335,53,buba,33,sw,35.0
53,377,54,búúú,33,sw,35.0
54,126,55,YakutyaN,13,wf,35.0
55,392,56,RedSW,33,sw,35.0
56,157,57,Coca,23,cm,35.0
57,161,58,TRESA,31,sb,35.0
58,1252,59,More,33,sw,35.0
59,241,60,PatientZero,23,cm,35.0
60,1080,61,Melissa,11,st,34.0
61,450,62,PantheR,12,cf,34.0
62,198,63,Arabian_Boy,13,wf,34.0
63,276,64,Morgan,13,wf,33.0
64,307,65,Dlh,24,dm,33.0
65,64,66,Anonymous,31,sb,33.0
66,72,67,Nigga,33,sw,33.0
67,82,68,Quas,13,wf,33.0
68,344,69,Compare,32,cb,33.0
69,1377,70,Hera,24,dm,33.0
70,1143,71,Zeo,24,dm,33.0
71,912,72,Vandik,32,cb,33.0
72,1173,73,Fritz,32,cb,33.0
73,1450,74,JackieChumba,31,sb,33.0
